id    ra              dec             x               y               major           minor           orient          offaxis         azi             srccounts       ctrate          ctrate_err      flux            sig             p(point)          sizetest pntcon?  r1con?
48    24.8286         -54.4775        445.25          320             3.09233         3.09233         431.407         14.4375         222.722         26.6081         0.000394696     8.13114e-05     3.94696e-15     1.49001e-07     0.835                   ok      ok      ok
49    25.1256         -54.6344        302.231         190.615         3.23305         3.23305         505.241         5.81466         296.556         39.6319         0.000242538     3.8808e-05      2.42538e-15     2.7234e-09      0.025                   ok      ok      ok
50    25.4122         -54.5054        164.667         297.333         3.06395         3.06395         246.032         7.2866          37.3477         20.5769         0.000217847     4.54366e-05     2.17847e-15     2.97403e-06     0.945                   ok      ok      ok
51    24.8618         -54.4214        429.517         366.5           4.02906         4.02906         417.553         14.8637         208.869         22.1392         0.0005836       0.000150366     5.836e-15       1.98627e-07     0.005                   ok      ok      ok
52    25.5582         -54.4356        94.2444         354.778         3.20578         3.20578         238.799         13.7533         30.1146         19.8277         0.000576257     0.000135896     5.76257e-15     5.78781e-09     0.14                    ok      ok      ok
53    25.1728         -54.3097        279.8           459.36          3.94128         1.98693         -172.967        14.8036         157.866         136.229         0.00302557      0.00034618      3.02557e-14     1.17392e-76     0.0                psfsize      ok      ok
54    25.5435         -54.4004        101.2           384             2.7191          1.11647         -154.33         14.5677         21.932          69.1946         0.00155511      0.000241707     1.55511e-14     6.85621e-28     0.0                psfsize      ok      ok
55    25.4918         -54.4963        126.378         304.756         8.52207         6.11645         131.191         10.0619         40.9711         190.087         0.0017949       0.000237659     1.7949e-14      8.12794e-40     0.0                     ok      ok      ok
56    25.2446         -54.6125        245.249         208.773         27.9648         22.4923         88.7631         3.55552         344.584         12309.6         0.0641298       0.000879846     6.41298e-13     0               0.0                     ok      ok      ok
57    25.1283         -54.5223        301.075         283.39          25.093          17.3531         -166.665        3.77357         210.217         4880.18         0.0273616       0.000630477     2.73616e-13     0               0.0                     ok      ok      ok
