   id             ra            dec              x              y          major          minor         orient        offaxis            azi      srccounts         ctrate     ctrate_err           flux            sig       p(point)  sizetest pntcon?  r1con?
   43      25.409490     -54.388576        165.714        394.000        3.10126        3.10126        326.562      11.945530      117.87739      35.309386  0.00054212448    9.02583e-05  5.4212449e-15  1.5403530e-13     0.96000000        ok      ok      ok
   44      25.128387     -54.366212        301.200        412.600        2.80178        2.80178        375.978      11.771598      167.29336      27.338723  0.00038394567    7.20111e-05  3.8394568e-15  4.6472728e-10     0.81000000        ok      ok      ok
   45      25.085356     -54.361679        321.955        416.318        2.78641        2.78641        382.271      12.520387      173.58640      85.376561   0.0012939091    0.000118935  1.2939091e-14  4.1661775e-57     0.33500000        ok      ok      ok
   46      25.046054     -54.353787        340.923        422.808        3.04495        3.04495        386.913      13.521342      178.22838      139.38393   0.0021311302    0.000161574  2.1311302e-14 5.5031196e-108   0.0050000000        ok      ok      ok
   47      24.828559     -54.477503        445.250        320.000        3.13249        3.13249        431.407      14.437500      222.72229      26.856783  0.00038396697    8.16174e-05  3.8396698e-15  1.0546290e-07     0.97500000        ok      ok      ok
   48      25.125624     -54.634441        302.231        190.615        3.23303        3.23303        505.241      5.8146569      296.55648      40.159513  0.00024492059    3.89241e-05  2.4492060e-15  2.1160427e-09    0.030000000        ok      ok      ok
   49      25.412207     -54.505377        164.667        297.333        3.06396        3.06396        293.968      7.2865993      85.283141      19.967984  0.00021159965    4.49515e-05  2.1159965e-15  6.7616093e-06     0.98500000        ok      ok      ok
   50      24.861771     -54.421418        429.517        366.500        4.02906        4.02906        417.553      14.863673      208.86870      22.071568  0.00057525650    0.000150366  5.7525652e-15  2.2278288e-07    0.015000000        ok      ok      ok
   51      25.558187     -54.435646        94.2444        354.778        3.20579        3.20579        301.201      13.753268      92.516270      19.992830  0.00057448301    0.000135914  5.7448302e-15  3.6305318e-09     0.12500000        ok      ok      ok
   52      24.970649     -54.484728        376.905        314.333        3.62232        1.93169       -237.515      9.6835619      215.66063      142.63056  0.00097141008    0.000115000  9.7141010e-15  4.4343337e-50        0.00000   psfsize      ok      ok
   53      25.172837     -54.309737        279.800        459.360        3.94128        1.98693        7.03346      14.803582      157.86614      136.20866   0.0030250125    0.000346772  3.0250125e-14  2.6978921e-76        0.00000   psfsize      ok      ok
   54      25.543459     -54.400377        101.200        384.000        2.71910        1.11647        25.6701      14.567749      100.69882      67.984053   0.0015281423    0.000241759  1.5281424e-14  9.7437433e-28        0.00000   psfsize      ok      ok
   55      25.491830     -54.496256        126.378        304.756        8.52207        6.11645       -228.809      10.061923      81.659771      186.91781   0.0017633663    0.000235646  1.7633663e-14  1.6438113e-39        0.00000        ok      ok      ok
   56      25.244563     -54.612530        245.253        208.778        27.9808        22.6428        87.6159      3.5551334      344.58173      12433.138    0.064806372    0.000883528  6.4806374e-13      0.0000000        0.00000        ok      ok      ok
   57      25.128305     -54.522403        301.069        283.338        25.1847        17.3443        12.5174      3.7712932      210.26258      4826.7822    0.026987197    0.000627529  2.6987198e-13      0.0000000        0.00000        ok      ok      ok
